scaffold_id	mag_ids	note
VB15-29_k141_22548	MASTER_WP4_FFoQSI_2__VB15-29__bin.10, MASTER_WP4_FFoQSI_3__VB15-29__bin.3	duplicate across MAGs
VB15-29_k141_22979	MASTER_WP4_FFoQSI_2__VB15-29__bin.10, MASTER_WP4_FFoQSI_3__VB15-29__bin.23	duplicate across MAGs
VB15-29_k141_24709	MASTER_WP4_FFoQSI_2__VB15-29__bin.10, MASTER_WP4_FFoQSI_3__VB15-29__bin.40	duplicate across MAGs
VB15-29_k141_28526	MASTER_WP4_FFoQSI_2__VB15-29__bin.10, MASTER_WP4_FFoQSI_3__VB15-29__bin.23	duplicate across MAGs
VB15-29_k141_29181	MASTER_WP4_FFoQSI_2__VB15-29__bin.10, MASTER_WP4_FFoQSI_3__VB15-29__bin.8	duplicate across MAGs
VB15-29_k141_31842	MASTER_WP4_FFoQSI_2__VB15-29__bin.10, MASTER_WP4_FFoQSI_3__VB15-29__bin.43	duplicate across MAGs
VB15-29_k141_42525	MASTER_WP4_FFoQSI_2__VB15-29__bin.10, MASTER_WP4_FFoQSI_3__VB15-29__bin.28	duplicate across MAGs
VB15-29_k141_45230	MASTER_WP4_FFoQSI_2__VB15-29__bin.10, MASTER_WP4_FFoQSI_3__VB15-29__bin.43	duplicate across MAGs
VB15-29_k141_46275	MASTER_WP4_FFoQSI_2__VB15-29__bin.10, MASTER_WP4_FFoQSI_3__VB15-29__bin.21	duplicate across MAGs
VB15-29_k141_52109	MASTER_WP4_FFoQSI_2__VB15-29__bin.10, MASTER_WP4_FFoQSI_3__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_56811	MASTER_WP4_FFoQSI_2__VB15-29__bin.10, MASTER_WP4_FFoQSI_3__VB15-29__bin.35	duplicate across MAGs
VB15-29_k141_60571	MASTER_WP4_FFoQSI_2__VB15-29__bin.10, MASTER_WP4_FFoQSI_3__VB15-29__bin.42	duplicate across MAGs
VB15-29_k141_66619	MASTER_WP4_FFoQSI_2__VB15-29__bin.10, MASTER_WP4_FFoQSI_3__VB15-29__bin.29	duplicate across MAGs
VB15-29_k141_543	MASTER_WP4_FFoQSI_3__VB15-29__bin.14, MASTER_WP4_FFoQSI_2__VB15-29__bin.14	duplicate across MAGs
VB15-29_k141_7694	MASTER_WP4_FFoQSI_3__VB15-29__bin.14, MASTER_WP4_FFoQSI_2__VB15-29__bin.9	duplicate across MAGs
VB15-29_k141_19415	MASTER_WP4_FFoQSI_3__VB15-29__bin.14, MASTER_WP4_FFoQSI_2__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_19821	MASTER_WP4_FFoQSI_3__VB15-29__bin.14, MASTER_WP4_FFoQSI_2__VB15-29__bin.9	duplicate across MAGs
VB15-29_k141_25441	MASTER_WP4_FFoQSI_3__VB15-29__bin.14, MASTER_WP4_FFoQSI_2__VB15-29__bin.15	duplicate across MAGs
VB15-29_k141_54544	MASTER_WP4_FFoQSI_3__VB15-29__bin.14, MASTER_WP4_FFoQSI_2__VB15-29__bin.13	duplicate across MAGs
VB15-29_k141_64730	MASTER_WP4_FFoQSI_3__VB15-29__bin.14, MASTER_WP4_FFoQSI_2__VB15-29__bin.21	duplicate across MAGs
SternesPR_2017_k119_3417	SternesPR_2017__T1D1_A_shotgun__bin.5, SternesPR_2017__Y3D1_A_shotgun__bin.2	duplicate across MAGs
SternesPR_2017_k119_8639	SternesPR_2017__T1D1_A_shotgun__bin.5, SternesPR_2017__T1D1_B_shotgun__bin.5	duplicate across MAGs
VB15-29_k141_3899	MASTER_WP4_FFoQSI_2__VB15-29__bin.14, MASTER_WP4_FFoQSI_3__VB15-29__bin.9	duplicate across MAGs
VB15-29_k141_29927	MASTER_WP4_FFoQSI_2__VB15-29__bin.14, MASTER_WP4_FFoQSI_3__VB15-29__bin.43	duplicate across MAGs
VB15-29_k141_35958	MASTER_WP4_FFoQSI_2__VB15-29__bin.14, MASTER_WP4_FFoQSI_3__VB15-29__bin.19	duplicate across MAGs
VB15-29_k141_45028	MASTER_WP4_FFoQSI_2__VB15-29__bin.14, MASTER_WP4_FFoQSI_3__VB15-29__bin.28	duplicate across MAGs
